"RICHTIG","FALSCH"
"Adresse","Addresse"
"Apparat","Aparat"
"aggressiv","agressiv"
"Ärgernis","Ärgerniss"
"am besten","am Besten"
"Armatur","Amatur"
"anhand","an Hand"
"Atmosphäre","Athmosphäre"
"Annalen","Analen"
"Attrappe","Atrappe"
"annullieren","anullieren"
"aufrechterhalten","aufrecht erhalten"
"Antipathie","Antiphatie"
"Autor","Author"
"Apartheid","Apartheit"
"brillant","brilliant"
"Biskuit","Biskwit"
"Ballett","Balett"
"bisschen","ein Bisschen"
"Billard","Billiard"
"Büfett","Büffett"
"Charisma","Karisma"
"Clementine","Clementiene"
"Chrysantheme","Chrysanteme"
"Commitment","Comitment"
"des Weiteren","des weiteren"
"detailliert","detalliert"
"darüber hinaus","darüberhinaus"
"Diarrhö","Diarröh"
"dass","daß"
"diffizil","diffiziel"
"Dekolleté","Dekolltee"
"Dilettant","Dillettant"
"dementsprechend","dem entsprechend"
"dilettantisch","dillettantisch"
"derselbe","der selbe"
"Diphtherie","Diphterie"
"exzellent","excellent"
"Empathie","Emphatie"
"Eiffelturm","Eifelturm"
"endgültig","entgültig"
"eigentlich","eigendlich"
"endlich","entlich"
"einzig","einzigste"
"Ergebnis","Ergebniss"
"Elefant","Elephant"
"Fitness","Fittness"
"Fronleichnam","Frohnleichnahm"
"Frondienst","Frohndienst"
"Galerie","Gallerie"
"Gelatine","Gelantine"
"Galionsfigur","Gallionsfigur"
"gesamt","gesammt"
"galoppieren","galloppieren"
"Gratwanderung","Gradwanderung"
"Garderobe","Gaderobe"
"griesgrämig","grießgrämig"
"gebären","gebähren"
"grölen","gröhlen"
"Gebaren","Gebahren"
"Guerilla","Guerillia"
"Gecko","Gekko"
"hanebüchen","hahnebüchen"
"heute Morgen","heute morgen"
"Hasardeur","Harsadeur"
"Hobby, Hobbys","Hobbie, Hobbies"
"im Einzelnen","im einzelnen"
"infolge","in Folge"
"im Folgenden","im folgenden"
"infolgedessen (deshalb)","infolge dessen"
"im Voraus","im voraus"
"interessant","interesant"
"im Wesentlichen","im wesentlichen"
"Interesse","Interresse"
"immer noch","immernoch"
"inwieweit","in wie weit"
"Jackett","Jakett"
"Karosserie","Karrosserie"
"Konkurrenz","Konkurenz"
"Karussell","Karrussell"
"korrigieren","korigieren"
"katastrophal","katastrofal"
"Koryphäe","Koriphäe"
"Katastrophe","Katastrofe"
"krakeelen","krakehlen"
"kolossal","kollossal"
"Kreißsaal","Kreissaal"
"Komitee","Kommitee"
"kumulieren","kummulieren"
"Kommentar","Komentar"
"Kuss","Kuß"
"Kommilitone","Komilitone"
"Lappalie","Lapalie"
"Lid (Augenlid)","Lied"
"lässt","läßt"
"Loser","Looser"
"Libyen","Lybien"
"Mandarine","Mandariene"
"Misere","Miesere"
"Maschine","Maschiene"
"Mobiliar","Mobilar"
"minimal","minnimal"
"morgen","Morgen früh"
"nämlich","nähmlich"
"nichtsdestotrotz","nichts desto trotz"
"persönlich","persöhnlich"
"Philippinen","Phillipinen"
"Paneel","Panel"
"Pinnwand","Pinwand"
"Pappenstiel","Pappenstil"
"platzieren","plazieren"
"Papst","Pabst"
"Pogrom","Progrom"
"parallel","parallell"
"Portemonnaie (Portmonee)","Portemonee"
"peripher","perifer"
"präferieren","präfferieren"
"rau","rauh"
"Ressource","Ressurce"
"redundant","redundand"
"Resümee","Resümmee"
"Reling","Reeling"
"Rhetorik","Retorik"
"Renommee","Rennome"
"Rhythmus","Rythmus"
"Rentier","Renntier"
"Rückgrat","Rückgrad"
"Reparatur","Reperatur"
"Saite (Geigen-)","Seite"
"sowie (Bedeutung: sobald)","so wie"
"Satellit","Sattelit"
"spazieren","spatzieren"
"Schlafittchen","Schlawittchen"
"spülen","spühlen"
"Schluss","Schluß"
"Standard","Standart"
"schnellstmöglich","schnellst möglich"
"stattdessen","statt dessen"
"Silhouette","Silouette"
"Stele","Stehle"
"Silvester","Sylvester"
"Strophe","Strofe"
"Siphon","Syphon"
"subsumieren","subsummieren"
"Sisyphusarbeit","Sisiphusarbeit"
"subtil","subtiel"
"skurril","skurill"
"Symmetrie","Symetrie"
"Souterrain","Souterain"
"Sympathie","Symphatie"
"soweit (Bedeutung: in dem Maße)","so weit"
"sympathisch","sympatisch"
"Terabyte","Terrabyte"
"todtraurig","tottraurig"
"Terrasse","Terasse"
"tolerant","tollerant"
"Tiger","Tieger"
"Trilogie","Trielogie"
Next:
"Tipp","Tip"
"Triumph","Triumf"
"todlangweilig","totlangweilig"
"übrigens","übrigends"
"unentgeltlich","unendgeltlich"
"unendlich","unentlich"
"unsympathisch","unsympatisch"
"übersät","übersäht"
"unter anderem","unter Anderem"
"von klein auf","von Klein auf"
"verwandtschaftlich","verwandschaftlich"
"voraussichtlich","vorraussichtlich"
"Verzeichnis","Verzeichniss"
"vielleicht","vieleicht"
"vor allem","vor Allem"
"Verlies","Verließ"
"vor Ort","vorort"
"vermeintlich","vermeindlich"
"Voraussetzung","Vorraussetzung"
"verpönt","verpöhnt"
"vorbeikommen","vorbei kommen"
"Verwandtschaft","Verwandschaft"
"währenddessen","während dessen"
"wider","wieder (entgegen)"
"wahrnehmen","wahr nehmen"
"widerfahren","wiederfahren"
"weiß","ich weiss"
"Widerspruch","Wiederspruch"
"weismachen","weißmachen"
"wie viel","wieviel"
"weißt","du weist"
"wiederum","widerum"
"Wermut","Wehrmut"
"willkommen heißen","Willkommen heißen"
"zartbesaitet (zart besaitet)","zartbeseitet"
"zum einen … zum anderen","zum Einen … zum Anderen"
"ziemlich","ziehmlich"
"zumindest","zu Mindest"
"zu Ende","zuende"
"zurzeit (gegenwärtig)","zur Zeit"
"zu viel","zuviel"
"zuwider","zuwieder"
"Zucchini","Zuchini"
