"Übungswort","Beispielsatz"
"groß","Wie groß ist er?"
"bald","Wir sind bald am Ziel."
"wieder","Sie ist schon wieder da."
"dann","Und dann brachen wir auf."
"fahren","Sie fahren über eine Brücke."
"wir","Einmal versuchen wir es noch."
"zurück","Jens schaute nicht zurück."
"fertig","Die Hausaufgaben sind fertig."
"kommt","Lars kommt die Treppe herauf"
"hat","Sie hat gewonnen."
"fallen","Vom Dach fallen Tropfen."
"ließ","Willi ließ mich nicht in Ruhe."
"einmal","Ich habe es ihm schon einmal gesagt."
"plötzlich","Sie liefen plötzlich weg."
"fleißig","Kerstin war sehr fleißig."
"sehen","Die Kinder sehen sich einen Film an."
"morgen","Sie verschieben es auf morgen."
"nie","Ich habe ihn noch nie gesehen."
"Straße","Tobias überquert die Straße."
"Vater","Sie geht mit ihrem Vater angeln."
"hält","Julia hält ihn fest."
"sehr","Das Buch ist sehr spannend."
"weiß","Ich weiß nicht, wo er ist."
"wäre","Es wäre schön, wenn es klappen würde."
"Vogel","Im Käfig saß ein bunter Vogel."
"bekommt","Jeder bekommt eine Tafel Schokolade."
"ziemlich","Holger hat sich ziemlich aufgeregt."
"sitzt","Sie sitzt in ihrem Sessel und denkt nach."
"gibt","Jonas gibt nie etwas ab."
"steht","Im Garten steht ein großer Kirschbaum."
"alle","Die Kinder sind alle gekommen."
"nehmen","Sie nehmen, was sie bekommen können."
"muss","Ich muss mein Zimmer noch aufräumen."
"viel","Wir haben heute viel gearbeitet."
"Kind","Margit band dem Kind die Schuhe zu."
"ohne","Hubert schaute ihn ohne Furcht an."
"Ende","Alles hat ein Ende, nur die Wurst hat zwei."
"fällt","Der Baum fällt gleich um."
"ein bisschen","Sie hat uns ein bisschen geärgert."
"spielt","Alexander spielt mit seiner Eisenbahn."
"Lehrer/Lehrerin","Unser Lehrer ist sehr nett."
"schnell","Sven schloss schnell die Tür."
"jetzt","Ulla ist jetzt meine Freundin."
"hatte","Ich hatte es ganz vergessen."
"nicht/nichts","Er kommt nicht mit."
"hier","Wir bleiben hier."
"rennt","Er rennt so schnell er kann."
"fährt","Sie fährt gleich nach Hause."
"lassen","Das lassen wir uns nicht gefallen."
"sieht","Die Hütte sieht ziemlich alt aus."
"Mädchen","Das Mädchen heißt Christine."
"zu Hause","Sie verbrachten die Ferien zu Hause."
"soll","Er soll ein Auto gestohlen haben."
