"Nummer","Wort","Klasse","Strategie"
1,"ab","2","Weiterschwingen"
2,"Abend","2","Merken Großschreibung"
3,"aber","3/4","Merken"
4,"Advent","1","Mitsprechen Großschreibung"
5,"Affe","--","--"
6,"Afrika","1","Mitsprechen"
7,"alle","2","Mitsprechen"
8,"allein","3/4","Mitsprechen"
9,"als","1","Mitsprechen"
10,"also","1","Mitsprechen"
11,"alt","--","--"
12,"am","1","Mitsprechen"
13,"Amerika","3/4","Mitsprechen"
14,"an","3/4","Merken Großschreibung"
15,"andere","--","--"
16,"Angst","2","Merken"
17,"antworten","2","Mitsprechen"
18,"Apfel","1","Mitsprechen Großschreibung"
19,"Arzt","3/4","Merken Großschreibung"
20,"Asien","--","--"
21,"auch","2","Mitsprechen"
22,"auf","1","Mitsprechen"
23,"aufpassen","--","--"
24,"aufwachen","--","--"
25,"Auge","2","Mitsprechen"
26,"aus","--","--"
27,"außerdem","--","--"
28,"Australien","1","Mitsprechen Großschreibung"
29,"Auto","3/4","Weiterschwingen Großschreibung"
30,"bald","1","Mitsprechen Großschreibung"
31,"Ball","2","Merken"
32,"Banane","--","--"
33,"bauen","--","--"
34,"Baum","1","Mitsprechen Großschreibung"
35,"befehlen","--","--"
36,"befiehlt","--","--"
37,"begegnen","--","--"
38,"bei","2","Mitsprechen"
39,"Beispiel","3/4","Merken Wortbausteine"
40,"bekommen","3/4","Weiterschwingen Großschreibung"
41,"belohnen","--","Merken Wortbausteine"
42,"Berg","1","Weiterschwingen Großschreibung"
43,"besiegen","3/4","Mitsprechen"
44,"besser","--","--"
45,"beste","--","--"
46,"Bett","3/4","Weiterschwingen Großschreibung"
47,"bevor","3/4","Merken"
48,"bin","--","--"
49,"Birne","2","Mitsprechen"
50,"bis","2","Mitsprechen"
51,"bisschen","3/4","Weiterschwingen"
52,"bist","--","--"
53,"bitten","3/4","Mitsprechen"
54,"bleiben","2","Mitsprechen"
55,"Boot","3/4","Merken Großschreibung"
56,"böse","2","Mitsprechen"
57,"brauchen","2","Mitsprechen"
58,"Brief","2","Weiterschwingen Großschreibung"
59,"bringen","2","Mitsprechen"
60,"Brot","--","--"
61,"Bruder","1","Mitsprechen Großschreibung"
62,"brummen","2","Mitsprechen Großschreibung"
63,"Buch","1","Mitsprechen Großschreibung"
64,"Burg","3/4","Weiterschwingen Großschreibung"
65,"Bus","1","Merken Großschreibung"
66,"Cent","3/4","Merken Großschreibung"
67,"Chor","1","Merken Großschreibung"
68,"Computer","--","--"
69,"da","1","Mitsprechen"
70,"danach","3/4","Mitsprechen"
71,"dann","1","Merken"
72,"darf","--","--"
73,"das","--","--"
75,"dein","2","Mitsprechen"
76,"denken","2","Merken"
77,"denn","1","Mitsprechen"
78,"der","--","--"
79,"Detektiv","--","--"
80,"dich","2","Mitsprechen"
81,"die","1","Mitsprechen"
82,"Dieb","3/4","Weiterschwingen Großschreibung"
83,"Dienstag","2","Weiterschwingen Großschreibung"
84,"dies","2","Mitsprechen"
85,"dir","2","Mitsprechen"
86,"doch","1","Mitsprechen"
87,"Donnerstag","--","Mitsprechen Großschreibung"
88,"doof","2","Weiterschwingen"
89,"doppelt","3/4","--"
90,"dort","3/4","Mitsprechen"
91,"Dose","2","--"
92,"draußen","--","Mitsprechen"
93,"drei","1","Mitsprechen"
94,"dumm","3/4","--"
95,"durch","2","Mitsprechen Weiterschwingen"
96,"dürfen","3/4","Mitsprechen"
97,"Durst","--","--"
98,"Ei","--","--"
99,"eigentlich","3/4","Mitsprechen Wortbausteine"
100,"Eimer","--","--"
101,"ein","1","Mitsprechen"
102,"einmal","3/4","Mitsprechen Wortbausteine"
103,"eins","1","Mitsprechen"
104,"Eis","--","--"
105,"Elefant","2","Mitsprechen Großschreibung"
106,"Eltern","2","Mitsprechen Großschreibung"
107,"endlich","3/4","Weiterschwingen Großschreibung Wortbausteine"
108,"er","1","Mitsprechen"
109,"Erdbeere","3/4","Weiterschwingen Wortbausteine"
110,"Ergebnis","3/4","Ableiten Wortbausteine"
111,"erklären","3/4","--"
112,"erschrecken","--","Mitsprechen Wortbausteine"
113,"erschrickt","3/4","--"
114,"erstens","--","Merken Wortbausteine"
115,"erzählen","--","--"
116,"es","1","Mitsprechen"
117,"essen","1","Mitsprechen"
118,"euch","2","Mitsprechen"
119,"Eule","1","Mitsprechen Wortbausteine"
120,"Europa","3/4","Mitsprechen Großschreibung"
121,"fahren","2","Merken"
122,"Fahrrad","3/4","Weiterschwingen Merken Großschreibung"
123,"fährt","--","--"
124,"fallen","1","Mitsprechen"
125,"fällt","--","--"
126,"fangen","2","Mitsprechen"
127,"fängt","--","--"
128,"fast","3/4","Mitsprechen"
129,"fehlen","--","--"
130,"Ferien","2","Merken Großschreibung"
131,"Fernseher","3/4","Mitsprechen"
132,"fertig","3/4","Weiterschwingen"
133,"Feuerwehr","--","--"
134,"finden","2","Mitsprechen"
135,"Fisch","--","--"
136,"Flasche","--","--"
137,"fliegen","1","Mitsprechen"
138,"Flugzeug","2","Mitsprechen"
139,"fragen","3/4","Weiterschwingen Großschreibung"
140,"Frau","1","Mitsprechen Großschreibung"
141,"Freitag","2","Weiterschwingen Großschreibung"
142,"fressen","3/4","Mitsprechen Wortbausteine"
143,"freuen","--","--"
144,"Freund","1","Mitsprechen Großschreibung"
145,"frisst","--","--"
146,"Frühstück","3/4","Weiterschwingen Großschreibung"
147,"Fuchs","3/4","Merken Großschreibung"
148,"für","1","Mitsprechen"
149,"Fuß","1","Weiterschwingen Großschreibung"
150,"füttern","--","--"
151,"Gabel","--","--"
152,"ganz","1","Großschreibung"
153,"geben","2","Mitsprechen"
154,"Geburt","--","--"
155,"gefährlich","3/4","Ableiten Merken Wortbausteine"
156,"gefallen","3/4","Mitsprechen Wortbausteine"
157,"gehen","1","Mitsprechen"
158,"gelb","1","Weiterschwingen"
159,"genug","3/4","Mitsprechen Weiterschwingen"
160,"gerade","3/4","Mitsprechen"
161,"gern","3/4","Mitsprechen"
162,"geschehen","3/4","Mitsprechen"
163,"Geschichte","3/4","Mitsprechen Großschreibung"
164,"gestern","1","Mitsprechen"
165,"gesund","2","Mitsprechen Weiterschwingen"
166,"gewinnen","3/4","Mitsprechen Wortbausteine"
167,"Gewitter","3/4","Mitsprechen Großschreibung"
168,"gibt","2","Mitsprechen"
169,"gießen","--","--"
170,"Giraffe","1","Weiterschwingen"
171,"Glück","3/4","Mitsprechen Weiterschwingen Großschreibung"
172,"groß","3/4","Mitsprechen Großschreibung"
173,"Gruppe","3/4","Mitsprechen Weiterschwingen"
174,"grüßen","2","Merken"
175,"gucken","3/4","Großschreibung"
176,"Haar","3/4","--"
177,"haben","2","Mitsprechen Weiterschwingen"
178,"halb","1","Mitsprechen"
179,"hallo","1","Mitsprechen"
180,"hält","--","--"
181,"halten","2","Weiterschwingen"
182,"Hand","1","Weiterschwingen Großschreibung"
183,"Handy","3/4","Merken Großschreibung"
184,"Hase","1","Mitsprechen Großschreibung"
185,"hat","--","--"
186,"hatte","--","--"
187,"Haus","1","Mitsprechen Großschreibung"
188,"Heft","--","--"
189,"heißen","2","Mitsprechen"
190,"helfen","2","Mitsprechen"
191,"heraus","--","--"
192,"herein","--","--"
193,"heute","1","Mitsprechen"
194,"Hexe","1","Merken Großschreibung"
195,"hier","2","Merken"
196,"hilft","--","--"
197,"hinein","--","--"
198,"hinter","2","Mitsprechen"
199,"hoffen","--","--"
200,"hören","1","Mitsprechen"
201,"Hose","1","Mitsprechen Großschreibung"
202,"Hummel","--","--"
203,"Hund","1","Weiterschwingen Großschreibung"
204,"Hunger","3/4","Mitsprechen Großschreibung"
205,"hungrig","3/4","Weiterschwingen Wortbausteine"
206,"ich","1","Mitsprechen"
207,"Idee","3/4","Merken Großschreibung"
208,"ihm","3/4","Merken"
209,"ihn","2","Merken"
210,"ihr","2","Merken"
211,"im","1","Mitsprechen"
212,"immer","2","Mitsprechen"
213,"in","1","Mitsprechen"
