"Nr","Wort","Klasse","individual"
"1","alt","1",""
"2","am","1",""
"3","an","1",""
"4","auf","1",""
"5","aus","1",""
"6","das Auto","1",""
"7","die Banane","1",""
"8","der Baum","1",""
"9","bin","1",""
"10","der Bus","1",""
"11","da","1",""
"12","das","1",""
"13","der","1",""
"14","die","1",""
"15","die Dose","1",""
"16","das Ei","1",""
"17","ein","1",""
"18","das Eis","1",""
"19","der Elefant","1",""
"20","es","1",""
"21","die Eule","1",""
"22","der Fisch","1",""
"23","haben","1",""
"24","der Hase","1",""
"25","hat","1",""
"26","das Haus","1",""
"27","die Hose","1",""
"28","ich","1",""
"29","im","1",""
"30","in","1",""
"31","ist","1",""
"32","ja","1",""
"33","lesen","1",""
"34","der Löwe","1",""
"35","malen","1",""
"36","die Mama","1",""
"37","die Maus","1",""
"38","mein","1",""
"39","mit","1",""
"40","die Nase","1",""
"41","nein","1",""
"42","das Nest","1",""
"43","die Note","1",""
"44","die Oma","1",""
"45","der Opa","1",""
"46","der Papa","1",""
"47","rufen","1",""
"48","das Schaf","1",""
"49","der Schal","1",""
"50","die Schule","1",""
"51","der Tisch","1",""
"52","und","1",""
"53","wir","1",""
"54","zu","1",""
"55","die Schere","1","i"
"56","der Nikolaus","1","i"
"57","die Nudel","1","i"
"58","rot","1","i"
"59","blau","1","i"
"60","grün","1","i"
"61","bunt","1","i"
"62","der Salat","1","i"
"63","die Tulpe","1","i"
"64","lila","1","i"
"65","die Palme","1","i"
"66","die Ampel","1","i"
"67","die Post","1","i"
"68","der Name","1","i"
"69","also","2",""
"70","antworten","2",""
"71","der Apfel","2",""
"72","auch","2",""
"73","aufwachen","2",""
"74","das Auge","2",""
"75","bauen","2",""
"76","bei","2",""
"77","beste","2",""
"78","die Birne","2",""
"79","bis","2",""
"80","bist","2",""
"81","bleiben","2",""
"82","böse","2",""
"83","das Brot","2",""
"84","der Bruder","2",""
"85","das Buch","2",""
"86","dein","2",""
"87","denken","2",""
"88","dich","2",""
"89","dir","2",""
"90","doch","2",""
"91","drei","2",""
"92","der Eimer","2",""
"93","einmal","2",""
"94","eins","2",""
"95","er","2",""
"96","euch","2",""
"97","fast","2",""
"98","die Ferien","2",""
"99","finden","2",""
"100","die Flasche","2",""
"101","fragen","2",""
"102","die Frau","2",""
"103","freuen","2",""
"104","für","2",""
"105","die Gabel","2",""
"106","gehen","2",""
"107","das Heft","2",""
"108","heute","2",""
"109","die Hexe","2",""
"110","hinter","2",""
"111","hören","2",""
"112","ins","2",""
"113","jede","2",""
"114","der Junge","2",""
"115","der Käse","2",""
"116","kaufen","2",""
"117","kein","2",""
"118","klein","2",""
"119","kochen","2",""
"120","der Kopf","2",""
"121","das Kreuz","2",""
"122","die Küche","2",""
"123","lachen","2",""
"124","lernen","2",""
"125","machen","2",""
"126","mich","2",""
"127","die Milch","2",""
"128","die Minute","2",""
"129","mir","2",""
"130","nach","2",""
"131","neu","2",""
"132","nicht","2",""
"133","noch","2",""
"134","nun","2",""
"135","nur","2",""
"136","oder","2",""
"137","oft","2",""
"138","der Papagei","2",""
"139","der Pinsel","2",""
"140","der Rauch","2",""
"141","rechnen","2",""
"142","der Regen","2",""
"143","reiten","2",""
"144","die Sache","2",""
"145","sagen","2",""
"146","schauen","2",""
"147","die Schaufel","2",""
"148","die Schaukel","2",""
"149","schaukeln","2",""
"150","schenken","2",""
"151","schlafen","2",""
"152","schneiden","2",""
"153","schon","2",""
"154","schön","2",""
"155","der Schrank","2",""
"156","schreiben","2",""
"157","schreien","2",""
"158","das Schwein","2",""
"159","sehen","2",""
"160","sein","2",""
"161","die Seite","2",""
"162","sich","2",""
"163","sie","2",""
"164","der Stein","2",""
"165","die Tafel","2",""
"166","die Tasche","2",""
"167","tragen","2",""
"168","tun","2",""
"169","über","2",""
"170","der Uhu","2",""
"171","um","2",""
"172","uns","2",""
"173","unter","2",""
"174","vom","2",""
"175","von","2",""
"176","vor","2",""
"177","warum","2",""
"178","was","2",""
"179","weinen","2",""
"180","wem","2",""
"181","wen","2",""
"182","wer","2",""
"183","wie","2",""
"184","die Wolke","2",""
"185","die Zeit","2",""
"186","die Zitrone","2",""
"187","zum","2",""
"188","zwei","2",""
"189","der Frühling","2","i"
"190","der Sommer","2","i"
"191","der Herbst","2","i"
"192","der Winter","2","i"
"193","der Igel","2","i"
"194","warm","2","i"
"195","kalt","2","i"
"196","der Schnee","2","i"
"197","der Drachen","2","i"
"198","steigen","2","i"
"199","blühen","2","i"
"200","heiß","2","i"
"201","dunkel","2","i"
"202","der Pilz","2","i"
"203","der Wind","2","i"
"204","die Laterne","2","i"
"205","der Sturm","2","i"
"206","Sankt Martin","2","i"
"207","die Kerze","2","i"
"208","der Nebel","2","i"
"209","das Blatt","2","i"
"210","die Gurke","2","i"
"211","die Tomate","2","i"
"212","die Paprika","2","i"
"213","der Kuchen","2","i"
"214","der Saft","2","i"
"215","das Obst","2","i"
"216","die Schokolade","2","i"
"217","die Pflaume","2","i"
"218","das Gemüse","2","i"
"219","die Ananas","2","i"
"220","das Fleisch","2","i"
"221","die Wurst","2","i"
"222","die Salami","2","i"
"223","das Salz","2","i"
"224","der Kakao","2","i"
"225","die Limonade","2","i"
"226","der Stift","2","i"
"227","das Lineal","2","i"
"228","das Etui","2","i"
"229","der Klebstoff","2","i"
"230","der Radiergummi","2","i"
"231","der Leoplaner","2","i"
"232","der Tornister","2","i"
"233","das Datum","2","i"
"234","die Hausaufgabe","2","i"
"235","der Filzstift","2","i"
"236","der Buntstift","2","i"
"237","die Tüte","2","i"
"238","der Malkasten","2","i"
"239","der Füller","2","i"
"240","die Farbe","2","i"
"241","der Schüler","2","i"
"242","die Schülerin","2","i"
"243","die Pause","2","i"
"244","Lünen","2","i"
"245","der Quatsch","2","i"
"246","das Regal","2","i"
"247","melden","2","i"
"248","der Zweig","2","i"
"249","der Ast","2","i"
"250","der Schneemann","2","i"
"251","singen","2","i"
"252","das Fest","2","i"
"253","ab","3",""
"254","der Abend","3",""
"255","aber","3",""
"256","der Affe","3",""
"257","alle","3",""
"258","allein","3",""
"259","als","3",""
"260","andere","3",""
"261","aufpassen","3",""
