A a;Weitere (ggf. fehleranfällige) Wortformen;Seite im GRUNDWORTSCHATZ
;;
Abend;die Abende, abends;49
Abendessen;;54
Advent;;36
ändern;du änderst;36
ängstlich;Angst;49, 56
ärgern;du ärgerst;36
all(-);;46
allein;;46
alles;;46
also;;30
alt;älter;49
anders;;24
antworten;du antwortest, Antwort;24
Aquarium;Aquarien;33
Arzt;Ärzte, Ärztin;30
auch;;30
aufräumen;Raum;49
Axt;Äxte;36
;;
Weitere Wörter;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
B b;Weitere (ggf. fehleranfällige) Wortformen;Seite im GRUNDWORTSCHATZ
;;
Bad;Bäder;49
Bäcker;du backst;49
bald;;52
Ball;Bälle;49
Band;Bänder;49
Beere;;46
beginnen;du beginnst, ich begann;42
bei;;30
beide(-);;30
beim;;30
Berg;Berge, bergig;49
besser;;42
Bett;;42
Biber;;46
(ein) bisschen;;57
blind;blinde;49
blitzen;es blitzt, Blitz;42
blond;blonde ;49
blühen;es blüht;42
Boot;;46
brennen;Brand, Verbrennung;42
Brille;;42
Brücke;;42
brüllen;du brüllst;42
bunt;;24
Burg;Burgen;49
;;
Weitere Wörter ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
C c;Weitere (ggf. fehleranfällige) Wortformen;Seite im GRUNDWORTSCHATZ
;;
Clown;;36
;;
Weitere Wörter ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
D d;Weitere (ggf. fehleranfällige) Wortformen;Seite im GRUNDWORTSCHATZ
;;
danach;;30
dein(-);;30
denn;;46
des;;30
deshalb;;52
dick;;42
dies(-);;30
doch;;30
donnern;Donner;42
doppelt;;42
draußen;;36
dreckig;Dreck;56
drehen;du drehst;42
drücken;du drückst, Druck;42
dünn;;42
dürfen;ich darf, du darfst, ich durfte;30
dumm;;42
durch;;30
Durst;durstig;24, 56
;;
Weitere Wörter ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
E e;Weitere (ggf. fehleranfällige) Wortformen;Seite im GRUNDWORTSCHATZ
;;
ehrlich;;56
einige;;30
Eltern;;24
E-Mail;;36
empfindlich;;56
endlich;;52
Ereignis;Ereignisse;54
Erfolg;Erfolge;49
Ergebnis;Ergebnisse;54
erklären;du erklärst, Erklärung;36, 54
Erlebnis;Erlebnisse, erleben;54
erschrecken;du erschrickst, ich erschrak, Schreck;42
erzählen;du erzählst, Erzählung;46, 54
etwas;;30
euer;;30
;;
Weitere Wörter ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
F f;Weitere (ggf. fehleranfällige) Wortformen;Seite im GRUNDWORTSCHATZ
;;
Faust;Fäuste;49
fahren;du fährst, ich fuhr  ;46
Fahrrad;;54
fangen;du fängst, er fängt, ich fing;49
Fehler;fehlen;46
Feld;Felder;49
Film;;24
Fleck;fleckig;42
fleißig;Fleiß;56
flüssig;;56
Flosse;;42
flüstern;du flüsterst;24
Fluss;Flüsse;42
Freiheit;frei;54
fressen;du frisst, ich fraß;42
(sich) freuen;du freust dich, Freude;24
freundlich;Freund, Freundin, Freunde;56
friedlich;Frieden;56
frieren;du frierst, ich fror;24
fröhlich;froh;56
Frucht;Früchte;24
früh;früher;42
Frühstück;;54
fühlen;du fühlst;46
füttern;du fütterst, Futter;42
Fußball;Fäuste;54
;;
Weitere Wörter ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
G g;Weitere (ggf. fehleranfällige) Wortformen;Seite im GRUNDWORTSCHATZ
;;
ganz(-);;30
Gebäude;bauen;49
Geburt;;24
Geburtstag;;54
gefährlich;Gefahr;56
gefallen;es gefällt;42
gegen;;30
Geheimnis;;54
gehen;du gehst, ich ging;42
gelb;gelbe;49
Geld;Gelder;49
gestern;;24
gesund;gesunde, Gesundheit;49, 54
gewinnen;Gewinn;42
glatt;Glätte;42
Glück;glücklich;42, 56
Gras;Gräser;49
groß;größer, Größe;36
Gruß;Grüße, grüßen, begrüßen;36
;;
Weitere Wörter ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
