Source;Word;Article;Forms;Wortart;Genus;URL;nur_im_Plural;BUCHMEIER_rank;BUCHMEIER_freq;LEEDS_rank;LEEDS_freq;LEIPZIG_rank;HERMIT_rank;HERMIT_freq
BUCHMEIER,HERMIT;Aah;;;;;;;4368.0;387;;;;5847.0;1414.0
BUCHMEIER,HERMIT;Aaron;;;;;;;3526.0;517;;;;3799.0;2454.0
A1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG,LEO739,NRW111;ab;;;Präposition;;https://www.dwds.de/wb/ab#1;0.0;208.0;16283;130.0;536.43;125.0;182.0;104853.0
LEEDS,LEIPZIG;Abbau;;;;;;;;;3404.0;19.44;2442.0;;
LEEDS,LEIPZIG;abbauen;;;;;;;;;3281.0;20.33;7948.0;;
B1;abbiegen;;;Verb;;https://www.dwds.de/wb/abbiegen;0.0;;;;;;;
B1,LEEDS,LEIPZIG;Abbildung;die;;Substantiv;fem.;https://www.dwds.de/wb/Abbildung;0.0;;;2446.0;29.55;8806.0;;
BUCHMEIER,HERMIT,LEEDS;abbrechen;;;;;;;6975.0;208;4215.0;14.66;;6303.0;1286.0
BUCHMEIER,HERMIT;Abby;;;;;;;6311.0;238;;;;3026.0;3278.0
BUCHMEIER,HERMIT;Abe;;;;;;;8723.0;155;;;;7880.0;961.0
BUCHMEIER,HERMIT;Abel;;;;;;;7037.0;206;;;;7961.0;947.0
A1,BUCHMEIER,BW3,HERMIT,LEEDS,LEIPZIG,LEO739,NRW422;Abend;der;die Abende, abends;Substantiv;mask.;https://www.dwds.de/wb/Abend;0.0;338.0;8803;659.0;111.35;803.0;254.0;71375.0
BUCHMEIER,BW3,HERMIT;Abendessen;das;;Substantiv;;;;1821.0;1172;;;;1400.0;8629.0
BUCHMEIER,FEHLER100,FEHLER300,HERMIT,LEEDS,LEIPZIG;abends;;;;;;;4570.0;366;2484.0;28.97;3331.0;2284.0;4696.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Abenteuer;das;;Substantiv;neutr.;https://www.dwds.de/wb/Abenteuer;0.0;3556.0;509;3337.0;19.91;4508.0;2968.0;3348.0
A1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG,LEO739,NRW111;aber;;;Konjunktion;;https://www.dwds.de/wb/aber#1;0.0;64.0;67062;32.0;2854.59;52.0;25.0;854492.0
A1;abfahren;;;Verb;;https://www.dwds.de/wb/abfahren;0.0;;;;;;;
A1,HERMIT,LEIPZIG;Abfahrt;die;;Substantiv;fem.;https://www.dwds.de/wb/Abfahrt;0.0;;;;;7897.0;9905.0;709.0
B1,BUCHMEIER,HERMIT,LEIPZIG;Abfall;der;;Substantiv;mask.;https://www.dwds.de/wb/Abfall;0.0;8860.0;152;;;7144.0;9203.0;781.0
