Source;Word;Lemma_spacy;Article;Forms;Wortart;Genus;URL;nur_im_Plural;Case_spacy;Number_spacy;Degree_spacy;PronType_spacy;VerbForm_spacy;BUCHMEIER_rank;BUCHMEIER_freq;LEEDS_rank;LEEDS_freq;LEIPZIG_rank;HERMIT_rank;HERMIT_freq
BUCHMEIER,HERMIT;Aah;Aah;;;Substantiv;;;;Nom;Sing;;;;4368.0;387.0;;;;5847.0;1414.0
BUCHMEIER,HERMIT;Aaron;Aaron;;;Substantiv;;;;Nom;Sing;;;;3526.0;517.0;;;;3799.0;2454.0
A1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;ab;ab;;;Präposition;;https://www.dwds.de/wb/ab#1;0.0;;;;;;208.0;16283.0;130.0;536.43;125.0;182.0;104853.0
LEEDS,LEIPZIG;Abbau;Abbau;;;Substantiv;mask.;;;Nom;Sing;;;;;;3404.0;19.44;2442.0;;
LEEDS,LEIPZIG;abbauen;abbauen;;;Verb;;;;;;;;Inf;;;3281.0;20.33;7948.0;;
B1;abbiegen;Abbieg;;;Verb;;https://www.dwds.de/wb/abbiegen;0.0;;;;;Inf;;;;;;;
B1,LEEDS,LEIPZIG;Abbildung;Abbildung;die;;Substantiv;fem.;https://www.dwds.de/wb/Abbildung;0.0;Nom;Sing;;;;;;2446.0;29.55;8806.0;;
BUCHMEIER,HERMIT,LEEDS;abbrechen;abbrechen;;;Verb;;;;;;;;Inf;6975.0;208.0;4215.0;14.66;;6303.0;1286.0
BUCHMEIER,HERMIT;Abby;Abby;;;Substantiv;fem.;;;Nom;Sing;;;;6311.0;238.0;;;;3026.0;3278.0
BUCHMEIER,HERMIT;Abe;Abe;;;Substantiv;fem.;;;Nom;Sing;;;;8723.0;155.0;;;;7880.0;961.0
BUCHMEIER,HERMIT;Abel;Abel;;;Substantiv;;;;Nom;Sing;;;;7037.0;206.0;;;;7961.0;947.0
A1,BUCHMEIER,BW3,HERMIT,LEEDS,LEIPZIG;Abend;Abend;der;die Abende, abends;Substantiv;mask.;https://www.dwds.de/wb/Abend;0.0;Nom;Sing;;;;338.0;8803.0;659.0;111.35;803.0;254.0;71375.0
BUCHMEIER,BW3,HERMIT;Abendessen;Abendessen;das;;Substantiv;neut.;;;Nom;Sing;;;;1821.0;1172.0;;;;1400.0;8629.0
BUCHMEIER,HERMIT,LEEDS,LEIPZIG;abends;abends;;;Adverb;;;;;;;;;4570.0;366.0;2484.0;28.97;3331.0;2284.0;4696.0
B1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;Abenteuer;Abenteuer;das;;Substantiv;neut.;https://www.dwds.de/wb/Abenteuer;0.0;Nom;Sing;;;;3556.0;509.0;3337.0;19.91;4508.0;2968.0;3348.0
A1,BUCHMEIER,BW1,HERMIT,LEEDS,LEIPZIG;aber;aber;;;Konjunktion;;https://www.dwds.de/wb/aber#1;0.0;;;;;;64.0;67062.0;32.0;2854.59;52.0;25.0;854492.0
A1;abfahren;abfahren;;;Verb;;https://www.dwds.de/wb/abfahren;0.0;;;;;Inf;;;;;;;
A1,HERMIT,LEIPZIG;Abfahrt;Abfahrt;die;;Substantiv;fem.;https://www.dwds.de/wb/Abfahrt;0.0;Nom;Sing;;;;;;;;7897.0;9905.0;709.0
B1,BUCHMEIER,HERMIT,LEIPZIG;Abfall;Abfall;der;;Substantiv;mask.;https://www.dwds.de/wb/Abfall;0.0;Nom;Sing;;;;8860.0;152.0;;;7144.0;9203.0;781.0
B1;Abfalleimer;Abfalleimer;der;;Substantiv;mask.;https://www.dwds.de/wb/Abfalleimer;0.0;Nom;Plur;;;;;;;;;;
A1;abfliegen;abfliegen;;;Verb;;https://www.dwds.de/wb/abfliegen;0.0;;;;;Inf;;;;;;;
A1,BUCHMEIER;Abflug;Abflug;der;;Substantiv;mask.;https://www.dwds.de/wb/Abflug;0.0;Nom;Sing;;;;9912.0;131.0;;;;;
LEEDS,LEIPZIG;Abgabe;Abgabe;;;Substantiv;fem.;;;Nom;Sing;;;;;;4472.0;13.59;7370.0;;
B1;Abgas;Abgas;das;;Substantiv;neut.;https://www.dwds.de/wb/Abgas;0.0;Nom;Sing;;;;;;;;;;
A1,BUCHMEIER,HERMIT,LEEDS,LEIPZIG;abgeben;abgeben;;;Verb;;https://www.dwds.de/wb/abgeben;0.0;;;;;Inf;4342.0;390.0;1798.0;41.63;3394.0;3726.0;2513.0
BUCHMEIER,HERMIT,LEIPZIG;abgebrochen;abbrechen;;;Verb;;;;;;;;Part;7556.0;187.0;;;6388.0;6837.0;1152.0
BUCHMEIER,HERMIT;abgefahren;abfahren;;;Verb;;;;;;;;Part;7886.0;177.0;;;;5902.0;1399.0
BUCHMEIER,HERMIT,LEIPZIG;abgegeben;abgeben;;;Verb;;;;;;;;Part;7555.0;187.0;;;3709.0;6067.0;1353.0
BUCHMEIER,HERMIT;abgehauen;abgehauen;;;Verb;;;;;Plur;;;Fin;3825.0;460.0;;;;2828.0;3545.0
BUCHMEIER,HERMIT;abgeholt;abholen;;;Verb;;;;;;;;Part;5797.0;266.0;;;;4198.0;2165.0
BUCHMEIER,HERMIT;abgelaufen;ablaufen;;;Verb;;;;;;;;Part;7004.0;207.0;;;;6854.0;1149.0
HERMIT,LEIPZIG;abgelegt;ablegen;;;Verb;;;;;;;;Part;;;;;5482.0;9145.0;788.0
BUCHMEIER,HERMIT,LEIPZIG;abgelehnt;ablehnen;;;Verb;;;;;;;;Part;5094.0;318.0;;;1565.0;3388.0;2846.0
