Source;Word;Article;Forms;Wortart;Genus;URL;nur_im_Plural
A1;%;;;Symbol;;https://www.dwds.de/wb/%25;0.0
A1;&;;;Symbol;;https://www.dwds.de/wb/%26;0.0
BW3;(ein) bisschen;;;;;;
BW3;(ein) paar;;;;;;
BW3;(sich) freuen;;du freust dich, Freude;;;;
B1;-weis;;;Affix;;https://www.dwds.de/wb/-weis;0.0
B1;-weise;;;Affix;;https://www.dwds.de/wb/-weise;0.0
B1;Abbildung;die;;Substantiv;fem.;https://www.dwds.de/wb/Abbildung;0.0
A1,BW3;Abend;der;die Abende, abends;Substantiv;mask.;https://www.dwds.de/wb/Abend;0.0
BW3;Abendessen;das;;Substantiv;;;
B1;Abenteuer;das;;Substantiv;neutr.;https://www.dwds.de/wb/Abenteuer;0.0
A1;Abfahrt;die;;Substantiv;fem.;https://www.dwds.de/wb/Abfahrt;0.0
B1;Abfall;der;;Substantiv;mask.;https://www.dwds.de/wb/Abfall;0.0
B1;Abfalleimer;der;;Substantiv;mask.;https://www.dwds.de/wb/Abfalleimer;0.0
A1;Abflug;der;;Substantiv;mask.;https://www.dwds.de/wb/Abflug;0.0
B1;Abgas;das;;Substantiv;neutr.;https://www.dwds.de/wb/Abgas;0.0
B1;Abitur;das;;Substantiv;neutr.;https://www.dwds.de/wb/Abitur;0.0
B1;Abonnement;das;;Substantiv;neutr.;https://www.dwds.de/wb/Abonnement;0.0
B1;Abschied;der;;Substantiv;mask.;https://www.dwds.de/wb/Abschied;0.0
B1;Abschluss;der;;Substantiv;mask.;https://www.dwds.de/wb/Abschluss;0.0
B1;Abschnitt;der;;Substantiv;mask.;https://www.dwds.de/wb/Abschnitt;0.0
A1;Absender;der;;Substantiv;mask.;https://www.dwds.de/wb/Absender;0.0
B1;Absenderin;die;;Substantiv;fem.;https://www.dwds.de/wb/Absenderin;0.0
B1;Abt;der;;Substantiv;mask.;https://www.dwds.de/wb/Abt;0.0
B1;Abteilung;die;;Substantiv;fem.;https://www.dwds.de/wb/Abteilung;0.0
B1;Abwart;der;;Substantiv;mask.;https://www.dwds.de/wb/Abwart;0.0
B1;Abwartin;die;;Substantiv;fem.;https://www.dwds.de/wb/Abwartin;0.0
A1;Achtung;die;;Substantiv;fem.;https://www.dwds.de/wb/Achtung;0.0
A1;Adresse;die;;Substantiv;fem.;https://www.dwds.de/wb/Adresse;0.0
BW3;Advent;der;;Substantiv;;;
A2;Ahnung;die;;Substantiv;fem.;https://www.dwds.de/wb/Ahnung;0.0
B1;Aktion;die;;Substantiv;fem.;https://www.dwds.de/wb/Aktion;0.0
B1;Aktivität;die;;Substantiv;fem.;https://www.dwds.de/wb/Aktivit%C3%A4t;0.0
B1;Alarm;der;;Substantiv;mask.;https://www.dwds.de/wb/Alarm;0.0
B1;Alkohol;der;;Substantiv;mask.;https://www.dwds.de/wb/Alkohol;0.0
B1;Alltag;der;;Substantiv;mask.;https://www.dwds.de/wb/Alltag;0.0
B1;Alphabet;das;;Substantiv;neutr.;https://www.dwds.de/wb/Alphabet;0.0
B1;Altenheim;das;;Substantiv;neutr.;https://www.dwds.de/wb/Altenheim;0.0
A1;Alter;das;;Substantiv;neutr.;https://www.dwds.de/wb/Alter;0.0
B1;Alternative;die;;Substantiv;fem.;https://www.dwds.de/wb/Alternative#1;0.0
B1;Altersheim;das;;Substantiv;neutr.;https://www.dwds.de/wb/Altersheim;0.0
BW1;Ameise;die;;Substantiv;;;
A2,BW1;Ampel;die;;Substantiv;fem.;https://www.dwds.de/wb/Ampel;0.0
BW1;Amsel;die;;Substantiv;;;
B1;Amt;das;;Substantiv;neutr.;https://www.dwds.de/wb/Amt;0.0
B1;Anbieter;der;;Substantiv;mask.;https://www.dwds.de/wb/Anbieter;0.0
A1,BW1;Anfang;der;Anfänge;Substantiv;mask.;https://www.dwds.de/wb/Anfang;0.0
B1;Angabe;die;;Substantiv;fem.;https://www.dwds.de/wb/Angabe;0.0
A1;Angebot;das;;Substantiv;neutr.;https://www.dwds.de/wb/Angebot;0.0
B1;Angehörige;;;Substantiv;fem., mask.;https://www.dwds.de/wb/Angeh%C3%B6rige;0.0
B1;Angestellte;;;Substantiv;mask., fem.;https://www.dwds.de/wb/Angestellte;0.0
A2;Angst;die;;Substantiv;fem.;https://www.dwds.de/wb/Angst;0.0
A1;Ankunft;die;;Substantiv;fem.;https://www.dwds.de/wb/Ankunft;0.0
B1;Anlage;die;;Substantiv;fem.;https://www.dwds.de/wb/Anlage;0.0
B1;Anleitung;die;;Substantiv;fem.;https://www.dwds.de/wb/Anleitung;0.0
A1;Anmeldung;die;;Substantiv;fem.;https://www.dwds.de/wb/Anmeldung;0.0
B1;Annonce;die;;Substantiv;fem.;https://www.dwds.de/wb/Annonce;0.0
A1;Anrede;die;;Substantiv;fem.;https://www.dwds.de/wb/Anrede;0.0
A1;Anruf;der;;Substantiv;mask.;https://www.dwds.de/wb/Anruf;0.0
A1;Anrufbeantworter;der;;Substantiv;mask.;https://www.dwds.de/wb/Anrufbeantworter;0.0
A1;Ansage;die;;Substantiv;fem.;https://www.dwds.de/wb/Ansage;0.0
A1;Anschluss;der;;Substantiv;mask.;https://www.dwds.de/wb/Anschluss;0.0
B1;Anspruch;der;;Substantiv;mask.;https://www.dwds.de/wb/Anspruch;0.0
B1;Antrag;der;;Substantiv;mask.;https://www.dwds.de/wb/Antrag;0.0
A1;Antwort;die;;Substantiv;fem.;https://www.dwds.de/wb/Antwort;0.0
B1;Anwalt;der;;Substantiv;mask.;https://www.dwds.de/wb/Anwalt;0.0
B1;Anwältin;die;;Substantiv;fem.;https://www.dwds.de/wb/Anw%C3%A4ltin;0.0
B1;Anzahl;die;;Substantiv;fem.;https://www.dwds.de/wb/Anzahl;0.0
A1;Anzeige;die;;Substantiv;fem.;https://www.dwds.de/wb/Anzeige;0.0
A2;Anzug;der;;Substantiv;mask.;https://www.dwds.de/wb/Anzug;0.0
A1;Apartment;das;;Substantiv;neutr.;https://www.dwds.de/wb/Apartment;0.0
A1,BW1;Apfel;der;Äpfel;Substantiv;mask.;https://www.dwds.de/wb/Apfel;0.0
A2;Apotheke;die;;Substantiv;fem.;https://www.dwds.de/wb/Apotheke;0.0
A2;Apparat;der;;Substantiv;mask.;https://www.dwds.de/wb/Apparat;0.0
A1;Appartement;das;;Substantiv;neutr.;https://www.dwds.de/wb/Appartement;0.0
A1;Appetit;der;;Substantiv;mask.;https://www.dwds.de/wb/Appetit;0.0
B1;Aprikose;die;;Substantiv;fem.;https://www.dwds.de/wb/Aprikose;0.0
A1,BW1;April;der;;Substantiv;mask.;https://www.dwds.de/wb/April;0.0
BW3;Aquarium;das;Aquarien;Substantiv;;;
A1;Arbeit;die;;Substantiv;fem.;https://www.dwds.de/wb/Arbeit;0.0
B1;Arbeiter;der;;Substantiv;mask.;https://www.dwds.de/wb/Arbeiter;0.0
B1;Arbeiterin;die;;Substantiv;fem.;https://www.dwds.de/wb/Arbeiterin;0.0
B1;Arbeitserlaubnis;die;;Substantiv;fem.;https://www.dwds.de/wb/Arbeitserlaubnis;0.0
B1;Arbeitslosigkeit;die;;Substantiv;fem.;https://www.dwds.de/wb/Arbeitslosigkeit;0.0
A1;Arbeitsplatz;der;;Substantiv;mask.;https://www.dwds.de/wb/Arbeitsplatz;0.0
B1;Arbeitsstelle;die;;Substantiv;fem.;https://www.dwds.de/wb/Arbeitsstelle;0.0
B1;Architekt;der;;Substantiv;mask.;https://www.dwds.de/wb/Architekt;0.0
B1;Architektin;die;;Substantiv;fem.;https://www.dwds.de/wb/Architektin;0.0
A1,BW1;Arm;der;;Substantiv;mask.;https://www.dwds.de/wb/Arm;0.0
B1;Art;die;;Substantiv;fem.;https://www.dwds.de/wb/Art;0.0
A2;Artikel;der;;Substantiv;mask.;https://www.dwds.de/wb/Artikel;0.0
A1,BW3;Arzt;der;Ärzte, Ärztin;Substantiv;mask.;https://www.dwds.de/wb/Arzt;0.0
BW1;Ast;der;Äste;Substantiv;;;
B1;Asyl;das;;Substantiv;neutr.;https://www.dwds.de/wb/Asyl;0.0
