Source;Word;Lemma_spacy;Article;Forms;Wortart;Genus;URL;nur_im_Plural;Case_spacy;Number_spacy;Degree_spacy;PronType_spacy;VerbForm_spacy;IPA_phoneme;SAMPA_phoneme
A1;%;%;;;Symbol;neut.;https://www.dwds.de/wb/%25;0.0;Nom;Sing;;;;pɾoːtsˈɛnt;"p4o:ts""Ent"
A1;&;&;;;Symbol;;https://www.dwds.de/wb/%26;0.0;;;;;;ˈʊnt;"""Unt"
BW3;(ein) bisschen;--;;;Satzzeichen;;;;;;;;;aɪn bˈɪsçən;"aIn b""IsC@n"
BW3;(ein) paar;--;;;Satzzeichen;;;;;;;;;aɪn pˈɑːɾ;"aIn p""A:4"
BW3;(sich) freuen;--;;du freust dich, Freude;Satzzeichen;;;;;;;;;zɪç frˈɔøən;"zIC fr""O2@n"
B1;-weis;-weis;;;Affix;;https://www.dwds.de/wb/-weis;0.0;;;;;;vˈaɪs;"v""aIs"
B1;-weise;-weise;;;Affix;;https://www.dwds.de/wb/-weise;0.0;Nom;Plur;;;;vˈaɪzə;"v""aIz@"
B1;Abbildung;Abbildung;die;;Substantiv;fem.;https://www.dwds.de/wb/Abbildung;0.0;Nom;Sing;;;;ˈapbˌɪldʊŋ;"""apb%IldUN"
A1,BW3;Abend;Abend;der;die Abende, abends;Substantiv;mask.;https://www.dwds.de/wb/Abend;0.0;Nom;Sing;;;;ˈɑːbənt;"""A:b@nt"
BW3;Abendessen;Abendessen;das;;Substantiv;neut.;;;Nom;Sing;;;;ˈɑːbəndˌɛsən;"""A:b@nd%Es@n"
B1;Abenteuer;Abenteuer;das;;Substantiv;neut.;https://www.dwds.de/wb/Abenteuer;0.0;Nom;Sing;;;;ˈɑbəntˌɔøɜ;"""Ab@nt%O23"
A1;Abfahrt;Abfahrt;die;;Substantiv;fem.;https://www.dwds.de/wb/Abfahrt;0.0;Nom;Sing;;;;ˈapfˌɑːɾt;"""apf%A:4t"
B1;Abfall;Abfall;der;;Substantiv;mask.;https://www.dwds.de/wb/Abfall;0.0;Nom;Sing;;;;ˈapfˌal;"""apf%al"
B1;Abfalleimer;Abfalleimer;der;;Substantiv;mask.;https://www.dwds.de/wb/Abfalleimer;0.0;Nom;Plur;;;;ˈapfˌalaɪmɜ;"""apf%alaIm3"
A1;Abflug;Abflug;der;;Substantiv;mask.;https://www.dwds.de/wb/Abflug;0.0;Nom;Sing;;;;ˈapflˌuːk;"""apfl%u:k"
B1;Abgas;Abgas;das;;Substantiv;neut.;https://www.dwds.de/wb/Abgas;0.0;Nom;Sing;;;;ˈapɡˌɑːs;"""apɡ%A:s"
B1;Abitur;Abitur;das;;Substantiv;neut.;https://www.dwds.de/wb/Abitur;0.0;Nom;Sing;;;;ˌapiːtˈuːɾ;"%api:t""u:4"
B1;Abonnement;Abonnement;das;;Substantiv;neut.;https://www.dwds.de/wb/Abonnement;0.0;Nom;Sing;;;;ˌɑbɔneːmˈɛnt;"%AbOne:m""Ent"
B1;Abschied;Abschied;der;;Substantiv;mask.;https://www.dwds.de/wb/Abschied;0.0;Nom;Sing;;;;ˈapʃˌiːt;"""apS%i:t"
B1;Abschluss;Abschluss;der;;Substantiv;mask.;https://www.dwds.de/wb/Abschluss;0.0;Nom;Sing;;;;ˈapʃlˌʊs;"""apSl%Us"
B1;Abschnitt;Abschnitt;der;;Substantiv;mask.;https://www.dwds.de/wb/Abschnitt;0.0;Nom;Sing;;;;ˈapʃnˌɪt;"""apSn%It"
A1;Absender;Absender;der;;Substantiv;mask.;https://www.dwds.de/wb/Absender;0.0;Nom;Plur;;;;ˈapzəndɜ;"""apz@nd3"
B1;Absenderin;Absenderin;die;;Substantiv;fem.;https://www.dwds.de/wb/Absenderin;0.0;Nom;Sing;;;;ˈapzəndərˌɪn;"""apz@nd@r%In"
B1;Abt;Abt;der;;Substantiv;mask.;https://www.dwds.de/wb/Abt;0.0;Nom;Sing;;;;ˈɑːpt;"""A:pt"
B1;Abteilung;Abteilung;die;;Substantiv;fem.;https://www.dwds.de/wb/Abteilung;0.0;Nom;Sing;;;;ˈaptˌaɪlʊŋ;"""apt%aIlUN"
B1;Abwart;Abwart;der;;Substantiv;;https://www.dwds.de/wb/Abwart;0.0;;;;;;ˈapvˌaɾt;"""apv%a4t"
B1;Abwartin;Abwartin;die;;Substantiv;fem.;https://www.dwds.de/wb/Abwartin;0.0;Nom;Sing;;;;ˈapvˌaɾtɪn;"""apv%a4tIn"
A1;Achtung;Achtung;die;;Substantiv;fem.;https://www.dwds.de/wb/Achtung;0.0;Nom;Sing;;;;ˈaxtʊŋ;"""axtUN"
A1;Adresse;Adresse;die;;Substantiv;fem.;https://www.dwds.de/wb/Adresse;0.0;Nom;Sing;;;;adɾˈɛsə;"ad4""Es@"
BW3;Advent;Advent;der;;Substantiv;mask.;;;Nom;Sing;;;;advˈɛnt;"adv""Ent"
A2;Ahnung;Ahnung;die;;Substantiv;fem.;https://www.dwds.de/wb/Ahnung;0.0;Nom;Sing;;;;ˈɑːnʊŋ;"""A:nUN"
B1;Aktion;Aktion;die;;Substantiv;fem.;https://www.dwds.de/wb/Aktion;0.0;Nom;Sing;;;;aktsjˈoːn;"aktsj""o:n"
B1;Aktivität;Aktivität;die;;Substantiv;fem.;https://www.dwds.de/wb/Aktivit%C3%A4t;0.0;Nom;Sing;;;;aktˈiːviːtˈɛːt;"akt""i:vi:t""E:t"
B1;Alarm;Alarm;der;;Substantiv;mask.;https://www.dwds.de/wb/Alarm;0.0;Nom;Sing;;;;alˈaɾm;"al""a4m"
B1;Alkohol;Alkohol;der;;Substantiv;mask.;https://www.dwds.de/wb/Alkohol;0.0;Nom;Sing;;;;ˌalkoːˈoːl;"%alko:""o:l"
B1;Alltag;Alltag;der;;Substantiv;mask.;https://www.dwds.de/wb/Alltag;0.0;Nom;Sing;;;;ˈaltɑːk;"""altA:k"
B1;Alphabet;Alphabet;das;;Substantiv;neut.;https://www.dwds.de/wb/Alphabet;0.0;Nom;Sing;;;;ˌalfabˈeːt;"%alfab""e:t"
B1;Altenheim;Altenheim;das;;Substantiv;neut.;https://www.dwds.de/wb/Altenheim;0.0;Nom;Sing;;;;ˈaltənhˌaɪm;"""alt@nh%aIm"
A1;Alter;Alter;das;;Substantiv;neut.;https://www.dwds.de/wb/Alter;0.0;Nom;Sing;;;;ˈaltɜ;"""alt3"
B1;Alternative;Alternative;die;;Substantiv;fem.;https://www.dwds.de/wb/Alternative#1;0.0;Nom;Sing;;;;ˌaltɜnatˈiːvə;"%alt3nat""i:v@"
B1;Altersheim;altersheim;das;;Substantiv;neut.;https://www.dwds.de/wb/Altersheim;0.0;Nom;Sing;;;;ˈaltɜshˌaɪm;"""alt3sh%aIm"
BW1;Ameise;ameise;die;;Substantiv;fem.;;;Nom;Sing;;;;ˈɑmaɪzə;"""AmaIz@"
A2,BW1;Ampel;Ampel;die;;Substantiv;fem.;https://www.dwds.de/wb/Ampel;0.0;Nom;Sing;;;;ˈampəl;"""amp@l"
BW1;Amsel;Amsel;die;;Substantiv;fem.;;;Nom;Sing;;;;ˈamzəl;"""amz@l"
B1;Amt;Amt;das;;Substantiv;neut.;https://www.dwds.de/wb/Amt;0.0;Nom;Sing;;;;ˈamt;"""amt"
B1;Anbieter;Anbieter;der;;Substantiv;mask.;https://www.dwds.de/wb/Anbieter;0.0;Nom;Plur;;;;ˈanbˌiːtɜ;"""anb%i:t3"
A1,BW1;Anfang;Anfang;der;Anfänge;Substantiv;mask.;https://www.dwds.de/wb/Anfang;0.0;;Sing;;;;ˈanfˌaŋ;"""anf%aN"
B1;Angabe;Angabe;die;;Substantiv;fem.;https://www.dwds.de/wb/Angabe;0.0;Nom;Sing;;;;ˈanɡˌɑːbə;"""anɡ%A:b@"
A1;Angebot;Angebot;das;;Substantiv;neut.;https://www.dwds.de/wb/Angebot;0.0;Nom;Sing;;;;ˈanɡəbˌoːt;"""anɡ@b%o:t"
B1;Angehörige;angehörige;;;Substantiv;fem., mask.;https://www.dwds.de/wb/Angeh%C3%B6rige;0.0;Nom;Plur;;;;ˈanɡəhˌøːrɪɡə;"""anɡ@h%2:rIɡ@"
B1;Angestellte;angestellter;;;Substantiv;mask., fem.;https://www.dwds.de/wb/Angestellte;0.0;Nom;Plur;;;;ˈanɡəʃtˌɛltə;"""anɡ@St%Elt@"
A2;Angst;Angst;die;;Substantiv;fem.;https://www.dwds.de/wb/Angst;0.0;Nom;Sing;;;;ˈaŋst;"""aNst"
A1;Ankunft;Ankunft;die;;Substantiv;fem.;https://www.dwds.de/wb/Ankunft;0.0;Nom;Sing;;;;ˈankˌʊnft;"""ank%Unft"
B1;Anlage;Anlage;die;;Substantiv;fem.;https://www.dwds.de/wb/Anlage;0.0;Nom;Sing;;;;ˈanlˌɑːɡə;"""anl%A:ɡ@"
B1;Anleitung;Anleitung;die;;Substantiv;fem.;https://www.dwds.de/wb/Anleitung;0.0;Nom;Sing;;;;ˈanlˌaɪtʊŋ;"""anl%aItUN"
A1;Anmeldung;Anmeldung;die;;Substantiv;fem.;https://www.dwds.de/wb/Anmeldung;0.0;Nom;Sing;;;;ˈanmˌɛldʊŋ;"""anm%EldUN"
B1;Annonce;Annonce;die;;Substantiv;fem.;https://www.dwds.de/wb/Annonce;0.0;Nom;Sing;;;;(en)ˈanɒns(de);"(en)""anQns(de)"
A1;Anrede;Anrede;die;;Substantiv;fem.;https://www.dwds.de/wb/Anrede;0.0;Nom;Sing;;;;ˈanrˌeːdə;"""anr%e:d@"
A1;Anruf;Anruf;der;;Substantiv;mask.;https://www.dwds.de/wb/Anruf;0.0;Nom;Sing;;;;ˈanrˌuːf;"""anr%u:f"
A1;Anrufbeantworter;Anrufbeantworter;der;;Substantiv;mask.;https://www.dwds.de/wb/Anrufbeantworter;0.0;Nom;Plur;;;;ˈanrˌʊfbeːˌantvɔɾtɜ;"""anr%Ufbe:%antvO4t3"
A1;Ansage;Ansage;die;;Substantiv;fem.;https://www.dwds.de/wb/Ansage;0.0;Nom;Sing;;;;ˈanzˌɑːɡə;"""anz%A:ɡ@"
A1;Anschluss;Anschluss;der;;Substantiv;mask.;https://www.dwds.de/wb/Anschluss;0.0;Nom;Sing;;;;ˈanʃlˌʊs;"""anSl%Us"
B1;Anspruch;Anspruch;der;;Substantiv;mask.;https://www.dwds.de/wb/Anspruch;0.0;Nom;Sing;;;;ˈanʃpɾˌʊx;"""anSp4%Ux"
B1;Antrag;Antrag;der;;Substantiv;mask.;https://www.dwds.de/wb/Antrag;0.0;Nom;Sing;;;;ˈantɾˌɑːk;"""ant4%A:k"
A1;Antwort;Antwort;die;;Substantiv;fem.;https://www.dwds.de/wb/Antwort;0.0;Nom;Sing;;;;ˈantvɔɾt;"""antvO4t"
B1;Anwalt;Anwalt;der;;Substantiv;mask.;https://www.dwds.de/wb/Anwalt;0.0;Nom;Sing;;;;ˈanvˌalt;"""anv%alt"
B1;Anwältin;Anwältin;die;;Substantiv;fem.;https://www.dwds.de/wb/Anw%C3%A4ltin;0.0;Nom;Sing;;;;ˈanvˌɛltɪn;"""anv%EltIn"
B1;Anzahl;Anzahl;die;;Substantiv;fem.;https://www.dwds.de/wb/Anzahl;0.0;Nom;Sing;;;;ˈantsˌɑːl;"""ants%A:l"
A1;Anzeige;Anzeige;die;;Substantiv;fem.;https://www.dwds.de/wb/Anzeige;0.0;Nom;Sing;;;;ˈantsˌaɪɡə;"""ants%aIɡ@"
A2;Anzug;Anzug;der;;Substantiv;mask.;https://www.dwds.de/wb/Anzug;0.0;Nom;Sing;;;;ˈantsˌuːk;"""ants%u:k"
A1;Apartment;Apartment;das;;Substantiv;neut.;https://www.dwds.de/wb/Apartment;0.0;Nom;Sing;;;;ˌɑpaɾtmˈɛnt;"%Apa4tm""Ent"
A1,BW1;Apfel;Apfel;der;Äpfel;Substantiv;mask.;https://www.dwds.de/wb/Apfel;0.0;Nom;Sing;;;;ˈapfəl;"""apf@l"
A2;Apotheke;Apotheke;die;;Substantiv;fem.;https://www.dwds.de/wb/Apotheke;0.0;Nom;Sing;;;;ˌapoːtˈeːkə;"%apo:t""e:k@"
A2;Apparat;Apparat;der;;Substantiv;mask.;https://www.dwds.de/wb/Apparat;0.0;Nom;Sing;;;;ˌaparˈɑːt;"%apar""A:t"
A1;Appartement;Appartement;das;;Substantiv;neut.;https://www.dwds.de/wb/Appartement;0.0;Nom;Sing;;;;ˌapaɾteːmˈɛnt;"%apa4te:m""Ent"
A1;Appetit;Appetit;der;;Substantiv;mask.;https://www.dwds.de/wb/Appetit;0.0;Nom;Sing;;;;ˌapeːtˈɪt;"%ape:t""It"
B1;Aprikose;Aprikose;die;;Substantiv;fem.;https://www.dwds.de/wb/Aprikose;0.0;Nom;Sing;;;;ˈapɾiːkˌoːzə;"""ap4i:k%o:z@"
A1,BW1;April;April;der;;Substantiv;mask.;https://www.dwds.de/wb/April;0.0;Nom;Sing;;;;apɾˈiːl;"ap4""i:l"
BW3;Aquarium;Aquarium;das;Aquarien;Substantiv;neut.;;;Nom;Sing;;;;akvˈɑriːˌʊm;"akv""Ari:%Um"
A1;Arbeit;Arbeit;die;;Substantiv;fem.;https://www.dwds.de/wb/Arbeit;0.0;Nom;Sing;;;;ˈaɾbaɪt;"""a4baIt"
B1;Arbeiter;Arbeiter;der;;Substantiv;mask.;https://www.dwds.de/wb/Arbeiter;0.0;Nom;Plur;;;;ˈaɾbaɪtɜ;"""a4baIt3"
B1;Arbeiterin;Arbeiterin;die;;Substantiv;fem.;https://www.dwds.de/wb/Arbeiterin;0.0;Nom;Sing;;;;ˈaɾbaɪtərˌɪn;"""a4baIt@r%In"
B1;Arbeitserlaubnis;Arbeitserlaubnis;die;;Substantiv;fem.;https://www.dwds.de/wb/Arbeitserlaubnis;0.0;Nom;Sing;;;;ˈaɾbaɪtzɜlˌaʊbnɪs;"""a4baItz3l%aUbnIs"
B1;Arbeitslosigkeit;Arbeitslosigkeit;die;;Substantiv;fem.;https://www.dwds.de/wb/Arbeitslosigkeit;0.0;Nom;Sing;;;;ˈaɾbaɪtslˌoːzɪçkˌaɪt;"""a4baItsl%o:zICk%aIt"
A1;Arbeitsplatz;Arbeitsplatz;der;;Substantiv;mask.;https://www.dwds.de/wb/Arbeitsplatz;0.0;Nom;Sing;;;;ˈaɾbaɪtsplˌats;"""a4baItspl%ats"
B1;Arbeitsstelle;Arbeitsstelle;die;;Substantiv;fem.;https://www.dwds.de/wb/Arbeitsstelle;0.0;Nom;Sing;;;;ˌaɾbaɪtsʃtˈɛlə;"%a4baItsSt""El@"
B1;Architekt;Architekt;der;;Substantiv;mask.;https://www.dwds.de/wb/Architekt;0.0;Nom;Sing;;;;ˈaɾçiːtˌɛkt;"""a4Ci:t%Ekt"
B1;Architektin;Architektin;die;;Substantiv;fem.;https://www.dwds.de/wb/Architektin;0.0;Nom;Sing;;;;ˈaɾçiːtˌɛktɪn;"""a4Ci:t%EktIn"
A1,BW1;Arm;Arm;der;;Substantiv;mask.;https://www.dwds.de/wb/Arm;0.0;Nom;Sing;;;;ˈaɾm;"""a4m"
B1;Art;Art;die;;Substantiv;fem.;https://www.dwds.de/wb/Art;0.0;Nom;Sing;;;;ˈɑːɾt;"""A:4t"
A2;Artikel;Artikel;der;;Substantiv;mask.;https://www.dwds.de/wb/Artikel;0.0;Nom;Plur;;;;aɾtˈiːkəl;"a4t""i:k@l"
A1,BW3;Arzt;Arzt;der;Ärzte, Ärztin;Substantiv;mask.;https://www.dwds.de/wb/Arzt;0.0;Nom;Sing;;;;ˈaɾtst;"""a4tst"
BW1;Ast;Ast;der;Äste;Substantiv;mask.;;;Nom;Sing;;;;ˈast;"""ast"
