Übungswort,Beispielsatz,Verwandte Wörter und andere Wortformen
bloß,"Wo steckt er bloß?",
sitzen,"Sie sitzen in der dritten Reihe.",
hat,"Das hat er nicht gewollt.",
zu Hause,"Er blieb zu Hause.",
wäre,"Ich wäre gerne gekommen.",
vielleicht,"Er wird uns vielleicht helfen.",
nicht,"Das weiß ich nicht","nichts"
bekommen,"Sie bekommen etwas zu essen.",
jetzt,"Ich habe es jetzt verstanden.",
fahren,"Sie fahren in die Berge.","fährt, fuhr, gefahren, Fahrt"
lassen,"Sie lassen ihn nicht in Ruhe!","lässt, gelassen"
Angst,"Er hat Angst.","ängstlich"
herein,"Kommt doch herein.","heraus, heran"
fiel,"Der Apfel fiel vom Baum.",
nächste,"Sie besucht uns nächste Woche.",
wollen,"Wir wollen das nicht.","will, gewollt"
seinem,"Er kam mit seinem Bruder.",
essen,"Sie essen gerne Äpfel.","isst"
abends,"Sie gehen abends früh ins Bett.",
ließ,"Er ließ sie laufen.",
ganz,"Er ist ganz rot im Gesicht.",
"gucken/kucken","Sie gucken in die Luft.",
kommen,"Wir kommen morgen.",
wieder,"Er ist wieder gesund.",
außen,"Das Haus ist außen gelb.","außer, außerdem, draußen"
plötzlich,"Es klopfte plötzlich an der Tür.",
groß,"Wie groß ist er?","größer, größte, am größten"
nehmen,"Sie nehmen uns mit.","nahm"
Tag,"Das war ein schöner Tag.",
ziemlich,"Er ist ziemlich wütend.",
alle,"Wir waren alle sehr zufrieden.","alles"
endlich,"Wann ist es endlich soweit?",
spielen,"Wir spielen im Garten.","gespielt, Spiel"
sagen,"Du solltest es ihm sagen.","sagt"
Essen,"Das Essen hat gut geschmeckt.",
meinen,"Ich frage meinen Freund.",
bekam,"Sie bekam eine Puppe.",
Idee,"Das ist eine gute Idee.",
schaffen,"Wir werden es schon schaffen.",
stellen,"Sie stellen die Gläser auf den Tisch.",
diesem,"In diesem Jahr fahren wir nach Köln.",
Fahrrad,"Sie putzt ihr Fahrrad.","Fahrräder"
ging,"Ich ging nach Hause.",
hatte,"Sie hatte keine Zeit.","hätte"
Weihnachten,"Wir freuen uns auf Weihnachten.",
liest,"Er liest uns etwas vor.",
rennen,"Sie rennen so schnell sie können.","rannte, gerannt"
einmal,"Sie hat erst einmal geklingelt.",
müssen,"Das müssen wir uns nicht gefallen lassen.","müsst"
erzählen,"Sie erzählen uns nicht alles.",
morgen,"Wir fangen heute oder morgen an.",
Fehler,"Das war ein schwerer Fehler.",
hinaus,"Sie schaute zum Fenster hinaus.","hinauf, hinein, hinab"
keinen,"Er hat keinen Freund.",
sieht,"Er sieht sich das Haus an.",
Schluss,"Jetzt ist aber Schluss!",
Lehrer,"Ich bekomme einen neuen Lehrer.","Lehrerin"
wir,"Jetzt sind wir fertig.",
wenn,"Ich komme, wenn es nötig ist.",
nimmt,"Er nimmt sich eine Banane.",
fehlen,"Ihm fehlen zwei Zähne.",
kaputt,"Die Uhr ist kaputt.",
ihrem,"Sie zeigte es ihrem Vater.",
aß,"Ich aß eine Birne.",
auf einmal,"Es war auf einmal ganz still.",
kennen,"Wir kennen eure Tricks.","kannte, gekannt"
saß,"Er saß auf einem alten Stuhl.",
viel,"Sie hat viel Geld.",
ihm,"Sie gab ihm das Geld.",
erschrak,"Als es donnerte, erschrak er.",
können,"Sie können gut malen.","kann, konnte, gekonnt"
seinen,"Er packt seinen Ranzen.",
Ende,"Alles hat einmal ein Ende.","zu Ende, am Ende"
hinterher,"Wir laufen hinterher.",
sehen,"Sie sehen uns nicht.","sah, gesehen"
sollen,"Wir sollen uns beeilen.",
wird,"Das Wetter wird bald besser.",
man,"Das konnte man nicht wissen.",
wissen,"Davon wissen sie noch nichts.","wusste, gewusst"
hier,"Ich wohne hier.",
stehen,"Sie stehen draußen vor der Tür.",
dann,"Er rieb seine Augen und dann stand er auf.",
am Abend,"Sie trafen sich am Abend.",
Spaß,"Das hat uns großen Spaß gemacht.",
spazieren,"Wir gehen im Wald spazieren.",
lesen,"Sie lesen Zeitung.","las, gelesen"
Zeit,"Ich habe keine Zeit.",
allein,"Lasst mich nicht allein!",
kam,"Sie kam nicht.",
ein bisschen,"Ich bin ein bisschen müde.",
meinem,"Ich schenkte es meinem Freund.",
kriegen,"Sie kriegen ein Geschenk.","kriegt"
fallen,"Es darf nicht auf den Boden fallen.","fällt, gefallen"
gehen,"Wir gehen zu Fuß.",
denn,"Er isst nichts, denn er hat keinen Hunger.",
weiß,"Das weiß ich nicht.",
gibt,"Was gibt es Neues?",
immer,"Es regnet immer noch.",
ihn,"Silke sah ihn nicht.",
gesessen,"Sie hat auf dem Sofa gesessen.",
rief,"Er rief seinen Freund an",
