correct,wrong
Adresse,Addresse
Autorisierung,Authorisierung
Billard,Billiard
Biskuit,Bisquit
Brillant,Brilliant
CARE-Paket,Kehrpaket
Diphtherie,Diphterie
Diphthong,Diphtong
Ekstase,Extase
Entgelt,Entgeld
Galerie,Gallerie
Galionsfigur,Gallionsfigur
Ginkgo,Gingko
Grieß,Gries
Jo-Jo,Jojo
Jo-Jo,Yo-Yo
kartesisch,karthesisch
Kokosnuss,Kokusnuss
Libyen,Lybien
Lotus,Lotos
Manhattan,Manhatten
Maskulismus,Maskulinismus
Millennium,Millenium
Ouvertüre,Overtüre
Parodontitis,Paradontose
Parodontitis,Parodontose
Philippinen,Philipinen
Philippinen,Phillipinen
Philippinen,Phillippinen
Rhythmus,Rythmus
Sowjetunion,Sovjetunion
Standard,Standart
Stegreif,Stehgreif
Verlies,Verließ
