word,dolch_band,grade_hint
a,pre_primer,1
and,pre_primer,1
away,pre_primer,1
big,pre_primer,1
blue,pre_primer,1
can,pre_primer,1
come,pre_primer,1
down,pre_primer,1
find,pre_primer,1
for,pre_primer,1
funny,pre_primer,1
go,pre_primer,1
help,pre_primer,1
here,pre_primer,1
I,pre_primer,1
in,pre_primer,1
is,pre_primer,1
it,pre_primer,1
jump,pre_primer,1
little,pre_primer,1
look,pre_primer,1
make,pre_primer,1
me,pre_primer,1
my,pre_primer,1
not,pre_primer,1
one,pre_primer,1
play,pre_primer,1
red,pre_primer,1
run,pre_primer,1
said,pre_primer,1
see,pre_primer,1
the,pre_primer,1
three,pre_primer,1
to,pre_primer,1
two,pre_primer,1
up,pre_primer,1
we,pre_primer,1
where,pre_primer,1
yellow,pre_primer,1
you,pre_primer,1
all,primer,1
am,primer,1
are,primer,1
at,primer,1
ate,primer,1
be,primer,1
black,primer,1
brown,primer,1
but,primer,1
came,primer,1
did,primer,1
do,primer,1
eat,primer,1
four,primer,1
get,primer,1
good,primer,1
have,primer,1
he,primer,1
into,primer,1
like,primer,1
must,primer,1
new,primer,1
no,primer,1
now,primer,1
on,primer,1
our,primer,1
out,primer,1
please,primer,1
pretty,primer,1
ran,primer,1
ride,primer,1
saw,primer,1
say,primer,1
she,primer,1
so,primer,1
soon,primer,1
that,primer,1
there,primer,1
they,primer,1
this,primer,1
too,primer,1
under,primer,1
want,primer,1
was,primer,1
well,primer,1
went,primer,1
what,primer,1
white,primer,1
who,primer,1
will,primer,1
with,primer,1
yes,primer,1
after,grade_1,1
again,grade_1,1
an,grade_1,1
any,grade_1,1
as,grade_1,1
ask,grade_1,1
by,grade_1,1
could,grade_1,1
every,grade_1,1
fly,grade_1,1
from,grade_1,1
give,grade_1,1
going,grade_1,1
had,grade_1,1
has,grade_1,1
her,grade_1,1
him,grade_1,1
his,grade_1,1
how,grade_1,1
just,grade_1,1
know,grade_1,1
let,grade_1,1
live,grade_1,1
may,grade_1,1
of,grade_1,1
old,grade_1,1
once,grade_1,1
open,grade_1,1
over,grade_1,1
put,grade_1,1
round,grade_1,1
some,grade_1,1
stop,grade_1,1
take,grade_1,1
thank,grade_1,1
them,grade_1,1
then,grade_1,1
think,grade_1,1
walk,grade_1,1
were,grade_1,1
when,grade_1,1
always,grade_2,2
around,grade_2,2
because,grade_2,2
been,grade_2,2
before,grade_2,2
best,grade_2,2
both,grade_2,2
buy,grade_2,2
call,grade_2,2
cold,grade_2,2
does,grade_2,2
don't,grade_2,2
fast,grade_2,2
first,grade_2,2
five,grade_2,2
found,grade_2,2
gave,grade_2,2
goes,grade_2,2
green,grade_2,2
its,grade_2,2
made,grade_2,2
many,grade_2,2
off,grade_2,2
or,grade_2,2
pull,grade_2,2
read,grade_2,2
right,grade_2,2
sing,grade_2,2
sit,grade_2,2
sleep,grade_2,2
tell,grade_2,2
their,grade_2,2
these,grade_2,2
those,grade_2,2
upon,grade_2,2
us,grade_2,2
use,grade_2,2
very,grade_2,2
wash,grade_2,2
which,grade_2,2
why,grade_2,2
wish,grade_2,2
work,grade_2,2
would,grade_2,2
write,grade_2,2
your,grade_2,2
about,grade_3,3
better,grade_3,3
bring,grade_3,3
carry,grade_3,3
clean,grade_3,3
cut,grade_3,3
done,grade_3,3
draw,grade_3,3
drink,grade_3,3
eight,grade_3,3
fall,grade_3,3
far,grade_3,3
full,grade_3,3
got,grade_3,3
grow,grade_3,3
hold,grade_3,3
hot,grade_3,3
hurt,grade_3,3
if,grade_3,3
keep,grade_3,3
kind,grade_3,3
laugh,grade_3,3
light,grade_3,3
long,grade_3,3
much,grade_3,3
myself,grade_3,3
never,grade_3,3
only,grade_3,3
own,grade_3,3
pick,grade_3,3
seven,grade_3,3
shall,grade_3,3
show,grade_3,3
six,grade_3,3
small,grade_3,3
start,grade_3,3
ten,grade_3,3
today,grade_3,3
together,grade_3,3
try,grade_3,3
warm,grade_3,3
