word,year
the,1
a,1
do,1
to,1
today,1
of,1
said,1
says,1
are,1
were,1
was,1
is,1
his,1
has,1
i,1
you,1
your,1
they,1
be,1
he,1
me,1
she,1
we,1
no,1
go,1
so,1
by,1
my,1
here,1
there,1
where,1
love,1
come,1
some,1
one,1
once,1
ask,1
friend,1
school,1
put,1
push,1
pull,1
full,1
house,1
our,1
door,2
floor,2
poor,2
because,2
find,2
kind,2
mind,2
behind,2
child,2
children,2
wild,2
climb,2
most,2
only,2
both,2
old,2
cold,2
gold,2
hold,2
told,2
every,2
everybody,2
even,2
great,2
break,2
steak,2
pretty,2
beautiful,2
after,2
fast,2
last,2
past,2
father,2
class,2
grass,2
pass,2
plant,2
path,2
bath,2
hour,2
move,2
prove,2
improve,2
sure,2
sugar,2
eye,2
could,2
should,2
would,2
who,2
whole,2
any,2
many,2
clothes,2
busy,2
people,2
water,2
again,2
half,2
money,2
mr,2
mrs,2
parents,2
christmas,2
accident,3
accidentally,3
actual,3
actually,3
address,3
answer,3
appear,3
arrive,3
believe,3
bicycle,3
breath,3
breathe,3
build,3
busy,3
business,3
calendar,3
caught,3
centre,3
century,3
certain,3
circle,3
complete,3
consider,3
continue,3
decide,3
describe,3
different,3
difficult,3
disappear,3
early,3
earth,3
eight,3
eighth,3
enough,3
exercise,3
experience,3
experiment,3
extreme,3
famous,3
favourite,3
february,3
forward,3
forwards,3
fruit,3
grammar,3
group,3
guard,3
guide,3
heard,3
heart,3
height,3
history,3
imagine,3
increase,3
important,3
interest,3
island,3
knowledge,3
learn,3
length,3
library,3
material,3
medicine,3
mention,3
minute,3
natural,3
naughty,3
notice,3
occasion,3
occasionally,3
often,3
opposite,3
ordinary,3
particular,3
peculiar,3
perhaps,3
popular,3
position,3
possession,3
possess,3
possible,3
potatoes,3
pressure,3
probably,3
promise,3
purpose,3
quarter,3
question,3
recent,3
regular,3
reign,3
remember,3
sentence,3
separate,3
special,3
straight,3
strange,3
strength,3
suppose,3
surprise,3
therefore,3
though,3
although,3
thought,3
through,3
various,3
weight,3
woman,3
women,3
accident,4
accidentally,4
actual,4
actually,4
address,4
answer,4
appear,4
arrive,4
believe,4
bicycle,4
breath,4
breathe,4
build,4
busy,4
business,4
calendar,4
caught,4
centre,4
century,4
certain,4
circle,4
complete,4
consider,4
continue,4
decide,4
describe,4
different,4
difficult,4
disappear,4
early,4
earth,4
eight,4
eighth,4
enough,4
exercise,4
experience,4
experiment,4
extreme,4
famous,4
favourite,4
february,4
forward,4
forwards,4
fruit,4
grammar,4
group,4
guard,4
guide,4
heard,4
heart,4
height,4
history,4
imagine,4
increase,4
important,4
interest,4
island,4
knowledge,4
learn,4
length,4
library,4
material,4
medicine,4
mention,4
minute,4
natural,4
naughty,4
notice,4
occasion,4
occasionally,4
often,4
opposite,4
ordinary,4
particular,4
peculiar,4
perhaps,4
popular,4
position,4
possession,4
possess,4
possible,4
potatoes,4
pressure,4
probably,4
promise,4
purpose,4
quarter,4
question,4
recent,4
regular,4
reign,4
remember,4
sentence,4
separate,4
special,4
straight,4
strange,4
strength,4
suppose,4
surprise,4
therefore,4
though,4
although,4
thought,4
through,4
various,4
weight,4
woman,4
women,4
accommodate,5
accompany,5
according,5
achieve,5
aggressive,5
amateur,5
ancient,5
apparent,5
appreciate,5
attached,5
available,5
average,5
awkward,5
bargain,5
bruise,5
category,5
cemetery,5
committee,5
communicate,5
community,5
competition,5
conscience,5
conscious,5
controversy,5
convenience,5
correspond,5
criticise,5
curiosity,5
definite,5
desperate,5
determined,5
develop,5
dictionary,5
disastrous,5
embarrass,5
environment,5
equip,5
equipped,5
equipment,5
especially,5
exaggerate,5
excellent,5
existence,5
explanation,5
